Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
Maestría,2886,0.43,0.21,2543,0.38,0.24,1286,0.19,0.25,55,0.01,0.23,3513,0.52,0.22,2711,0.4,0.24,521,0.08,0.26,25,0,0.27,1110,0.16,0.26,1404,0.21,0.24,3200,0.47,0.23,1055,0.16,0.21,2445,0.36,0.21,2838,0.42,0.24,1380,0.2,0.25,107,0.02,0.28,2453,0.36,0.22,2918,0.43,0.23,1321,0.2,0.26,77,0.01,0.23,797,0.12,0.24,1505,0.22,0.25,2912,0.43,0.23,1555,0.23,0.2,2217,0.33,0.21,3070,0.45,0.24,1322,0.2,0.25,160,0.02,0.26,2075,0.31,0.21,3215,0.48,0.24,1385,0.21,0.26,94,0.01,0.24,2710,0.4,0.22,3090,0.46,0.23,906,0.13,0.25,63,0.01,0.27,2728,0.4,0.21,2967,0.44,0.24,995,0.15,0.27,79,0.01,0.31,2466,0.36,0.21,3087,0.46,0.23,1106,0.16,0.26,110,0.02,0.28
Doctorado,333,0.45,0.02,251,0.34,0.02,156,0.21,0.03,6,0.01,0.03,395,0.53,0.02,293,0.39,0.03,54,0.07,0.03,4,0.01,0.04,114,0.15,0.03,174,0.23,0.03,344,0.46,0.02,114,0.15,0.02,276,0.37,0.02,302,0.41,0.03,156,0.21,0.03,12,0.02,0.03,285,0.38,0.03,291,0.39,0.02,156,0.21,0.03,14,0.02,0.04,98,0.13,0.03,164,0.22,0.03,306,0.41,0.03,178,0.24,0.02,267,0.36,0.03,316,0.42,0.02,142,0.19,0.03,21,0.03,0.03,257,0.35,0.03,320,0.43,0.02,152,0.2,0.03,17,0.02,0.04,325,0.44,0.03,291,0.39,0.02,120,0.16,0.03,10,0.01,0.04,307,0.41,0.02,317,0.43,0.03,113,0.15,0.03,9,0.01,0.04,294,0.39,0.03,302,0.41,0.02,131,0.18,0.03,19,0.03,0.05
Posdoctorado,18,0.64,0,5,0.18,0,5,0.18,0,0,0,0,19,0.68,0,7,0.25,0,2,0.07,0,0,0,0,8,0.29,0,6,0.21,0,10,0.36,0,4,0.14,0,14,0.5,0,9,0.32,0,5,0.18,0,0,0,0,12,0.43,0,10,0.36,0,6,0.21,0,0,0,0,8,0.29,0,8,0.29,0,8,0.29,0,4,0.14,0,12,0.43,0,9,0.32,0,7,0.25,0,0,0,0,13,0.46,0,7,0.25,0,8,0.29,0,0,0,0,14,0.5,0,7,0.25,0,7,0.25,0,0,0,0,14,0.5,0,6,0.21,0,8,0.29,0,0,0,0,14,0.5,0,7,0.25,0,7,0.25,0,0,0,0
Menor o igual a 10,4199,0.45,0.31,3405,0.36,0.32,1686,0.18,0.33,100,0.01,0.42,5199,0.55,0.32,3521,0.38,0.32,634,0.07,0.31,35,0,0.38,1606,0.17,0.37,1919,0.2,0.33,4216,0.45,0.3,1649,0.18,0.32,3788,0.4,0.33,3817,0.41,0.32,1660,0.18,0.3,125,0.01,0.33,3593,0.38,0.32,4000,0.43,0.31,1676,0.18,0.33,121,0.01,0.37,1168,0.12,0.36,1938,0.21,0.32,3746,0.4,0.3,2538,0.27,0.33,3377,0.36,0.32,4179,0.45,0.32,1623,0.17,0.3,211,0.02,0.34,3196,0.34,0.32,4229,0.45,0.31,1798,0.19,0.33,167,0.02,0.43,3948,0.42,0.32,4131,0.44,0.31,1219,0.13,0.34,92,0.01,0.39,4083,0.44,0.32,4024,0.43,0.32,1208,0.13,0.32,75,0.01,0.3,3749,0.4,0.32,4145,0.44,0.32,1339,0.14,0.32,157,0.02,0.4
11 a 20,4958,0.44,0.36,4196,0.37,0.4,2087,0.18,0.41,88,0.01,0.37,5969,0.53,0.37,4507,0.4,0.41,817,0.07,0.4,36,0,0.39,1722,0.15,0.4,2366,0.21,0.41,5529,0.49,0.39,1712,0.15,0.34,4171,0.37,0.36,4724,0.42,0.39,2299,0.2,0.41,135,0.01,0.36,4055,0.36,0.36,5044,0.45,0.39,2105,0.19,0.41,125,0.01,0.38,1249,0.11,0.38,2447,0.22,0.4,4888,0.43,0.39,2745,0.24,0.36,3804,0.34,0.36,5142,0.45,0.4,2159,0.19,0.4,224,0.02,0.37,3576,0.32,0.36,5384,0.48,0.39,2234,0.2,0.42,134,0.01,0.34,4527,0.4,0.37,5259,0.46,0.39,1461,0.13,0.4,81,0.01,0.35,4724,0.42,0.36,5015,0.44,0.4,1486,0.13,0.4,103,0.01,0.41,4238,0.37,0.36,5190,0.46,0.39,1758,0.16,0.42,142,0.01,0.36
21 a 30,4460,0.51,0.33,3019,0.34,0.28,1284,0.15,0.25,51,0.01,0.21,5108,0.58,0.31,3102,0.35,0.28,582,0.07,0.29,22,0,0.24,1033,0.12,0.24,1537,0.17,0.26,4493,0.51,0.32,1750,0.2,0.34,3538,0.4,0.31,3519,0.4,0.29,1640,0.19,0.29,117,0.01,0.31,3555,0.4,0.32,3803,0.43,0.3,1369,0.16,0.27,85,0.01,0.26,848,0.1,0.26,1712,0.19,0.28,3828,0.43,0.31,2425,0.28,0.32,3382,0.38,0.32,3683,0.42,0.28,1569,0.18,0.29,178,0.02,0.29,3312,0.38,0.33,4066,0.46,0.3,1345,0.15,0.25,89,0.01,0.23,3855,0.44,0.31,3955,0.45,0.3,941,0.11,0.26,61,0.01,0.26,4155,0.47,0.32,3531,0.4,0.28,1049,0.12,0.28,76,0.01,0.3,3758,0.43,0.32,3841,0.44,0.29,1116,0.13,0.27,96,0.01,0.24
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,12690,0.46,0.93,9967,0.36,0.94,4819,0.17,0.95,228,0.01,0.95,15159,0.55,0.93,10518,0.38,0.95,1936,0.07,0.95,90,0,0.97,4087,0.15,0.94,5523,0.2,0.95,13375,0.48,0.94,4718,0.17,0.92,10675,0.39,0.93,11340,0.41,0.94,5333,0.19,0.95,356,0.01,0.94,10402,0.38,0.93,12098,0.44,0.94,4888,0.18,0.95,314,0.01,0.95,3025,0.11,0.93,5765,0.21,0.95,11768,0.43,0.94,7145,0.26,0.93,9773,0.35,0.93,12225,0.44,0.94,5116,0.19,0.96,588,0.02,0.96,9317,0.34,0.92,12896,0.47,0.94,5120,0.19,0.95,368,0.01,0.94,11466,0.41,0.93,12592,0.46,0.94,3422,0.12,0.95,221,0.01,0.94,12027,0.43,0.93,11861,0.43,0.94,3572,0.13,0.95,240,0.01,0.95,10861,0.39,0.93,12436,0.45,0.94,4028,0.15,0.96,375,0.01,0.95
Interino,506,0.5,0.04,376,0.37,0.04,136,0.13,0.03,5,0.01,0.02,628,0.61,0.04,342,0.33,0.03,52,0.05,0.03,1,0,0.01,157,0.15,0.04,175,0.17,0.03,472,0.46,0.03,219,0.21,0.04,455,0.45,0.04,403,0.39,0.03,153,0.15,0.03,12,0.01,0.03,452,0.44,0.04,414,0.41,0.03,150,0.15,0.03,7,0.01,0.02,137,0.13,0.04,188,0.18,0.03,388,0.38,0.03,310,0.3,0.04,451,0.44,0.04,434,0.42,0.03,128,0.13,0.02,10,0.01,0.02,434,0.42,0.04,434,0.42,0.03,144,0.14,0.03,11,0.01,0.03,488,0.48,0.04,427,0.42,0.03,100,0.1,0.03,8,0.01,0.03,532,0.52,0.04,383,0.37,0.03,103,0.1,0.03,5,0.01,0.02,491,0.48,0.04,419,0.41,0.03,101,0.1,0.02,12,0.01,0.03
Tiempo fijo,254,0.56,0.02,141,0.31,0.01,56,0.12,0.01,3,0.01,0.01,291,0.64,0.02,140,0.31,0.01,22,0.05,0.01,1,0,0.01,67,0.15,0.02,58,0.13,0.01,223,0.49,0.02,106,0.23,0.02,227,0.5,0.02,168,0.37,0.01,55,0.12,0.01,4,0.01,0.01,213,0.47,0.02,187,0.41,0.02,48,0.11,0.01,6,0.01,0.02,67,0.15,0.02,73,0.16,0.01,169,0.37,0.01,145,0.32,0.02,215,0.47,0.02,183,0.4,0.01,51,0.11,0.01,5,0.01,0.01,200,0.44,0.02,200,0.44,0.02,50,0.11,0.01,4,0.01,0.01,232,0.51,0.02,173,0.38,0.01,48,0.11,0.01,1,0,0,236,0.52,0.02,181,0.4,0.01,33,0.07,0.01,4,0.01,0.02,235,0.52,0.02,172,0.38,0.01,43,0.1,0.01,4,0.01,0.01
No tengo nombramiento,24,0.48,0,22,0.44,0,4,0.08,0,0,0,0,30,0.6,0,15,0.3,0,5,0.1,0,0,0,0,4,0.08,0,12,0.24,0,27,0.54,0,7,0.14,0,13,0.26,0,26,0.52,0,10,0.2,0,1,0.02,0,14,0.28,0,27,0.54,0,8,0.16,0,1,0.02,0,4,0.08,0,10,0.2,0,23,0.46,0,13,0.26,0,15,0.3,0,26,0.52,0,6,0.12,0,3,0.06,0.01,14,0.28,0,25,0.5,0,11,0.22,0,0,0,0,14,0.28,0,27,0.54,0,9,0.18,0,0,0,0,18,0.36,0,28,0.56,0,3,0.06,0,1,0.02,0,18,0.36,0,26,0.52,0,5,0.1,0,1,0.02,0
Otro,143,0.48,0.01,112,0.37,0.01,42,0.14,0.01,3,0.01,0.01,166,0.55,0.01,115,0.38,0.01,18,0.06,0.01,1,0,0.01,46,0.15,0.01,54,0.18,0.01,139,0.46,0.01,61,0.2,0.01,126,0.42,0.01,122,0.41,0.01,48,0.16,0.01,4,0.01,0.01,122,0.41,0.01,119,0.4,0.01,56,0.19,0.01,3,0.01,0.01,32,0.11,0.01,61,0.2,0.01,113,0.38,0.01,94,0.31,0.01,108,0.36,0.01,135,0.45,0.01,50,0.17,0.01,7,0.02,0.01,118,0.39,0.01,123,0.41,0.01,52,0.17,0.01,7,0.02,0.02,129,0.43,0.01,125,0.42,0.01,42,0.14,0.01,4,0.01,0.02,149,0.5,0.01,115,0.38,0.01,32,0.11,0.01,4,0.01,0.02,139,0.46,0.01,122,0.41,0.01,36,0.12,0.01,3,0.01,0.01
GENERAL PÚBLICA,6212,0.44,0.46,5355,0.38,0.5,2598,0.18,0.51,113,0.01,0.47,7589,0.53,0.47,5603,0.39,0.5,1041,0.07,0.51,45,0,0.48,2196,0.15,0.5,2975,0.21,0.51,7032,0.49,0.49,2075,0.15,0.41,5271,0.37,0.46,5986,0.42,0.5,2829,0.2,0.51,192,0.01,0.51,5091,0.36,0.45,6374,0.45,0.5,2639,0.19,0.51,173,0.01,0.52,1588,0.11,0.49,3058,0.21,0.5,6131,0.43,0.49,3500,0.25,0.45,4813,0.34,0.46,6446,0.45,0.5,2722,0.19,0.51,296,0.02,0.48,4574,0.32,0.45,6756,0.47,0.49,2755,0.19,0.51,192,0.01,0.49,5758,0.4,0.47,6572,0.46,0.49,1832,0.13,0.51,115,0.01,0.49,5996,0.42,0.46,6260,0.44,0.5,1901,0.13,0.51,119,0.01,0.47,5443,0.38,0.46,6485,0.45,0.49,2145,0.15,0.51,203,0.01,0.51
TÉCNICA,5608,0.45,0.41,4464,0.36,0.42,2177,0.18,0.43,109,0.01,0.46,6807,0.55,0.42,4664,0.38,0.42,847,0.07,0.42,39,0,0.42,1853,0.15,0.43,2450,0.2,0.42,6070,0.49,0.43,1984,0.16,0.39,4778,0.39,0.42,5022,0.41,0.42,2401,0.19,0.43,157,0.01,0.42,4672,0.38,0.42,5342,0.43,0.42,2204,0.18,0.43,139,0.01,0.42,1353,0.11,0.41,2596,0.21,0.43,5322,0.43,0.43,3087,0.25,0.4,4330,0.35,0.41,5521,0.45,0.43,2245,0.18,0.42,262,0.02,0.43,4183,0.34,0.42,5758,0.47,0.42,2249,0.18,0.42,167,0.01,0.43,5126,0.42,0.42,5593,0.45,0.42,1536,0.12,0.42,102,0.01,0.44,5355,0.43,0.41,5281,0.43,0.42,1610,0.13,0.43,111,0.01,0.44,4780,0.39,0.41,5629,0.46,0.43,1790,0.15,0.43,158,0.01,0.4
TELESECUNDARIA,1797,0.62,0.13,801,0.28,0.08,282,0.1,0.06,17,0.01,0.07,1880,0.65,0.12,863,0.3,0.08,145,0.05,0.07,9,0,0.1,312,0.11,0.07,397,0.14,0.07,1136,0.39,0.08,1052,0.36,0.21,1448,0.5,0.13,1052,0.36,0.09,369,0.13,0.07,28,0.01,0.07,1440,0.5,0.13,1131,0.39,0.09,307,0.11,0.06,19,0.01,0.06,324,0.11,0.1,443,0.15,0.07,1009,0.35,0.08,1121,0.39,0.15,1420,0.49,0.13,1037,0.36,0.08,384,0.13,0.07,55,0.02,0.09,1327,0.46,0.13,1165,0.4,0.09,373,0.13,0.07,31,0.01,0.08,1446,0.5,0.12,1180,0.41,0.09,253,0.09,0.07,17,0.01,0.07,1611,0.56,0.12,1029,0.36,0.08,232,0.08,0.06,24,0.01,0.09,1522,0.53,0.13,1062,0.37,0.08,278,0.1,0.07,34,0.01,0.09
Total,13617,0.46,1,10620,0.36,1,5057,0.17,1,239,0.01,1,16276,0.55,1,11130,0.38,1,2033,0.07,1,93,0,1,4361,0.15,1,5822,0.2,1,14238,0.48,1,5111,0.17,1,11497,0.39,1,12060,0.41,1,5599,0.19,1,377,0.01,1,11203,0.38,1,12847,0.44,1,5150,0.17,1,331,0.01,1,3265,0.11,1,6097,0.21,1,12462,0.42,1,7708,0.26,1,10563,0.36,1,13004,0.44,1,5351,0.18,1,613,0.02,1,10084,0.34,1,13679,0.46,1,5377,0.18,1,390,0.01,1,12330,0.42,1,13345,0.45,1,3621,0.12,1,234,0.01,1,12962,0.44,1,12570,0.43,1,3743,0.13,1,254,0.01,1,11745,0.4,1,13176,0.45,1,4213,0.14,1,395,0.01,1
