Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
Doctorado,36,0.63,0.01,15,0.26,0.01,6,0.11,0.02,0,0,0,39,0.68,0.01,17,0.3,0.01,1,0.02,0,0,0,0,5,0.09,0.01,5,0.09,0.01,21,0.37,0.01,26,0.46,0.01,35,0.61,0.01,11,0.19,0.01,10,0.18,0.02,1,0.02,0.03,35,0.61,0.01,19,0.33,0.01,3,0.05,0.01,0,0,0,5,0.09,0.01,6,0.11,0.01,20,0.35,0.01,26,0.46,0.01,34,0.6,0.01,18,0.32,0.01,5,0.09,0.01,0,0,0,29,0.51,0.01,24,0.42,0.01,4,0.07,0.01,0,0,0,37,0.65,0.01,13,0.23,0.01,7,0.12,0.02,0,0,0,33,0.58,0.01,21,0.37,0.01,3,0.05,0.01,0,0,0,30,0.53,0.01,24,0.42,0.01,2,0.04,0.01,1,0.02,0.03
Posdoctorado,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Menor o igual a 10,1237,0.66,0.35,493,0.26,0.35,129,0.07,0.35,8,0,0.42,1324,0.71,0.36,460,0.25,0.32,78,0.04,0.33,5,0,0.46,170,0.09,0.41,170,0.09,0.38,637,0.34,0.33,890,0.48,0.35,1125,0.6,0.36,558,0.3,0.34,174,0.09,0.32,10,0.01,0.29,1053,0.56,0.34,650,0.35,0.36,154,0.08,0.35,10,0.01,0.29,202,0.11,0.43,226,0.12,0.36,605,0.32,0.32,834,0.45,0.35,1016,0.54,0.35,626,0.34,0.35,208,0.11,0.34,17,0.01,0.23,971,0.52,0.36,690,0.37,0.34,192,0.1,0.36,14,0.01,0.34,1071,0.57,0.36,642,0.34,0.34,141,0.08,0.35,13,0.01,0.35,1177,0.63,0.36,565,0.3,0.34,117,0.06,0.34,8,0,0.26,1152,0.62,0.37,549,0.29,0.32,152,0.08,0.35,14,0.01,0.37
11 a 20,1284,0.66,0.36,522,0.27,0.37,138,0.07,0.37,4,0,0.21,1313,0.67,0.36,538,0.28,0.37,95,0.05,0.4,2,0,0.18,138,0.07,0.34,160,0.08,0.35,721,0.37,0.37,929,0.48,0.37,1147,0.59,0.37,581,0.3,0.36,205,0.11,0.38,15,0.01,0.43,1136,0.58,0.37,637,0.33,0.35,162,0.08,0.37,13,0.01,0.38,158,0.08,0.33,232,0.12,0.37,696,0.36,0.37,862,0.44,0.37,1047,0.54,0.36,638,0.33,0.36,233,0.12,0.38,30,0.02,0.4,969,0.5,0.36,749,0.38,0.37,213,0.11,0.39,17,0.01,0.42,1082,0.56,0.36,702,0.36,0.37,151,0.08,0.38,13,0.01,0.35,1197,0.61,0.36,605,0.31,0.36,134,0.07,0.39,12,0.01,0.39,1125,0.58,0.36,650,0.33,0.38,160,0.08,0.37,13,0.01,0.34
21 a 30,1026,0.67,0.29,392,0.26,0.28,104,0.07,0.28,7,0.01,0.37,1006,0.66,0.28,454,0.3,0.31,65,0.04,0.27,4,0,0.36,104,0.07,0.25,123,0.08,0.27,573,0.38,0.3,729,0.48,0.29,866,0.57,0.28,489,0.32,0.3,164,0.11,0.3,10,0.01,0.29,880,0.58,0.29,514,0.34,0.29,124,0.08,0.28,11,0.01,0.32,115,0.08,0.24,177,0.12,0.28,579,0.38,0.31,658,0.43,0.28,815,0.53,0.28,508,0.33,0.29,178,0.12,0.29,28,0.02,0.37,777,0.51,0.29,606,0.4,0.3,136,0.09,0.25,10,0.01,0.24,837,0.55,0.28,574,0.38,0.3,107,0.07,0.27,11,0.01,0.3,921,0.6,0.28,503,0.33,0.3,94,0.06,0.27,11,0.01,0.36,869,0.57,0.28,526,0.34,0.31,123,0.08,0.28,11,0.01,0.29
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,3268,0.66,0.92,1329,0.27,0.95,352,0.07,0.95,18,0,0.95,3353,0.68,0.92,1377,0.28,0.95,226,0.05,0.95,11,0,1,372,0.08,0.9,434,0.09,0.96,1810,0.36,0.94,2351,0.47,0.92,2904,0.59,0.93,1520,0.31,0.93,511,0.1,0.94,32,0.01,0.91,2835,0.57,0.92,1690,0.34,0.94,410,0.08,0.93,32,0.01,0.94,427,0.09,0.9,592,0.12,0.93,1764,0.36,0.94,2184,0.44,0.93,2638,0.53,0.92,1670,0.34,0.94,590,0.12,0.95,69,0.01,0.92,2481,0.5,0.91,1933,0.39,0.95,516,0.1,0.95,37,0.01,0.9,2743,0.55,0.92,1810,0.36,0.94,380,0.08,0.95,34,0.01,0.92,3024,0.61,0.92,1590,0.32,0.95,326,0.07,0.95,27,0.01,0.87,2882,0.58,0.92,1633,0.33,0.95,417,0.08,0.96,35,0.01,0.92
Interino,118,0.75,0.03,32,0.2,0.02,7,0.04,0.02,1,0.01,0.05,123,0.78,0.03,30,0.19,0.02,5,0.03,0.02,0,0,0,16,0.1,0.04,11,0.07,0.02,47,0.3,0.02,84,0.53,0.03,88,0.56,0.03,57,0.36,0.04,12,0.08,0.02,1,0.01,0.03,106,0.67,0.04,42,0.27,0.02,10,0.06,0.02,0,0,0,22,0.14,0.05,17,0.11,0.03,50,0.32,0.03,69,0.44,0.03,96,0.61,0.03,45,0.29,0.03,14,0.09,0.02,3,0.02,0.04,94,0.6,0.04,53,0.34,0.03,9,0.06,0.02,2,0.01,0.05,103,0.65,0.03,48,0.3,0.03,5,0.03,0.01,2,0.01,0.05,114,0.72,0.04,33,0.21,0.02,8,0.05,0.02,3,0.02,0.1,109,0.69,0.04,41,0.26,0.02,6,0.04,0.01,2,0.01,0.05
Tiempo fijo,68,0.72,0.02,22,0.23,0.02,4,0.04,0.01,0,0,0,75,0.8,0.02,17,0.18,0.01,2,0.02,0.01,0,0,0,8,0.09,0.02,2,0.02,0,32,0.34,0.02,52,0.55,0.02,57,0.61,0.02,26,0.28,0.02,10,0.11,0.02,1,0.01,0.03,50,0.53,0.02,36,0.38,0.02,7,0.07,0.02,1,0.01,0.03,8,0.09,0.02,11,0.12,0.02,31,0.33,0.02,44,0.47,0.02,60,0.64,0.02,28,0.3,0.02,6,0.06,0.01,0,0,0,62,0.66,0.02,25,0.27,0.01,7,0.07,0.01,0,0,0,62,0.66,0.02,27,0.29,0.01,5,0.05,0.01,0,0,0,70,0.75,0.02,20,0.21,0.01,4,0.04,0.01,0,0,0,68,0.72,0.02,21,0.22,0.01,5,0.05,0.01,0,0,0
No tengo nombramiento,24,0.75,0.01,6,0.19,0,2,0.06,0.01,0,0,0,28,0.88,0.01,4,0.13,0,0,0,0,0,0,0,7,0.22,0.02,1,0.03,0,10,0.31,0.01,14,0.44,0.01,25,0.78,0.01,5,0.16,0,2,0.06,0,0,0,0,22,0.69,0.01,8,0.25,0,2,0.06,0.01,0,0,0,6,0.19,0.01,5,0.16,0.01,8,0.25,0,13,0.41,0.01,25,0.78,0.01,5,0.16,0,2,0.06,0,0,0,0,24,0.75,0.01,7,0.22,0,0,0,0,1,0.03,0.02,24,0.75,0.01,6,0.19,0,2,0.06,0.01,0,0,0,24,0.75,0.01,6,0.19,0,2,0.06,0.01,0,0,0,25,0.78,0.01,6,0.19,0,1,0.03,0,0,0,0
Otro,69,0.74,0.02,18,0.19,0.01,6,0.07,0.02,0,0,0,64,0.69,0.02,24,0.26,0.02,5,0.05,0.02,0,0,0,9,0.1,0.02,5,0.05,0.01,32,0.34,0.02,47,0.51,0.02,64,0.69,0.02,20,0.22,0.01,8,0.09,0.02,1,0.01,0.03,56,0.6,0.02,25,0.27,0.01,11,0.12,0.03,1,0.01,0.03,12,0.13,0.03,10,0.11,0.02,27,0.29,0.01,44,0.47,0.02,59,0.63,0.02,24,0.26,0.01,7,0.08,0.01,3,0.03,0.04,56,0.6,0.02,27,0.29,0.01,9,0.1,0.02,1,0.01,0.02,58,0.62,0.02,27,0.29,0.01,7,0.08,0.02,1,0.01,0.03,63,0.68,0.02,24,0.26,0.01,5,0.05,0.01,1,0.01,0.03,62,0.67,0.02,24,0.26,0.01,6,0.07,0.01,1,0.01,0.03
GENERAL PÚBLICA,3341,0.67,0.94,1322,0.26,0.94,344,0.07,0.93,18,0,0.95,3409,0.68,0.94,1379,0.27,0.95,226,0.05,0.95,11,0,1,383,0.08,0.93,433,0.09,0.96,1814,0.36,0.94,2395,0.48,0.94,2953,0.59,0.94,1534,0.31,0.94,504,0.1,0.93,34,0.01,0.97,2883,0.57,0.94,1706,0.34,0.95,404,0.08,0.92,32,0.01,0.94,443,0.09,0.93,603,0.12,0.95,1765,0.35,0.94,2214,0.44,0.94,2696,0.54,0.94,1671,0.33,0.94,588,0.12,0.95,70,0.01,0.93,2538,0.51,0.93,1932,0.38,0.95,515,0.1,0.95,40,0.01,0.98,2791,0.56,0.93,1820,0.36,0.95,378,0.08,0.95,36,0.01,0.97,3092,0.62,0.94,1586,0.32,0.95,317,0.06,0.92,30,0.01,0.97,2948,0.59,0.94,1628,0.32,0.94,411,0.08,0.95,38,0.01,1
INDÍGENAS,206,0.65,0.06,85,0.27,0.06,27,0.09,0.07,1,0,0.05,234,0.73,0.06,73,0.23,0.05,12,0.04,0.05,0,0,0,29,0.09,0.07,20,0.06,0.04,117,0.37,0.06,153,0.48,0.06,185,0.58,0.06,94,0.3,0.06,39,0.12,0.07,1,0,0.03,186,0.58,0.06,95,0.3,0.05,36,0.11,0.08,2,0.01,0.06,32,0.1,0.07,32,0.1,0.05,115,0.36,0.06,140,0.44,0.06,182,0.57,0.06,101,0.32,0.06,31,0.1,0.05,5,0.02,0.07,179,0.56,0.07,113,0.35,0.06,26,0.08,0.05,1,0,0.02,199,0.62,0.07,98,0.31,0.05,21,0.07,0.05,1,0,0.03,203,0.64,0.06,87,0.27,0.05,28,0.09,0.08,1,0,0.03,198,0.62,0.06,97,0.3,0.06,24,0.08,0.06,0,0,0
Total,3547,0.66,1,1407,0.26,1,371,0.07,1,19,0,1,3643,0.68,1,1452,0.27,1,238,0.05,1,11,0,1,412,0.08,1,453,0.09,1,1931,0.36,1,2548,0.48,1,3138,0.59,1,1628,0.31,1,543,0.1,1,35,0.01,1,3069,0.57,1,1801,0.34,1,440,0.08,1,34,0.01,1,475,0.09,1,635,0.12,1,1880,0.35,1,2354,0.44,1,2878,0.54,1,1772,0.33,1,619,0.12,1,75,0.01,1,2717,0.51,1,2045,0.38,1,541,0.1,1,41,0.01,1,2990,0.56,1,1918,0.36,1,399,0.08,1,37,0.01,1,3295,0.62,1,1673,0.31,1,345,0.07,1,31,0.01,1,3146,0.59,1,1725,0.32,1,435,0.08,1,38,0.01,1
